month,vmt_million_miles,yoy_change,estimate_status,release_month,geography,road_coverage,source_url
2024-01-01,4098,-0.042,revised_next_month,2024-02-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24febtvt/24febtvt.xlsx
2024-02-01,3931,0.027000000000000003,revised_next_month,2024-03-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24martvt/24martvt.xlsx
2024-03-01,4903,0.019,revised_next_month,2024-04-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24aprtvt/24aprtvt.xlsx
2024-04-01,4911,0.032,revised_next_month,2024-05-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24maytvt/24maytvt.xlsx
2024-05-01,5481,0.004,revised_next_month,2024-06-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24juntvt/24juntvt.xlsx
2024-06-01,5562,-0.009000000000000001,revised_next_month,2024-07-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24jultvt/24jultvt.xlsx
2024-07-01,6098,0.012,revised_next_month,2024-08-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24augtvt/24augtvt.xlsx
2024-08-01,6074,0.018000000000000002,revised_next_month,2024-09-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24septvt/24septvt.xlsx
2024-09-01,5312,0.005,revised_next_month,2024-10-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24octtvt/24octtvt.xlsx
2024-10-01,5166,0.017,revised_next_month,2024-11-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24novtvt/24novtvt.xlsx
2024-11-01,4477,-0.004,revised_next_month,2024-12-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/24dectvt/24dectvt.xlsx
2024-12-01,4513,0.023,revised_next_month,2025-01-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25jantvt/25jantvt.xlsx
2025-01-01,4469,0.09,revised_next_month,2025-02-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25febtvt/25febtvt.xlsx
2025-02-01,3961,-0.048,revised_next_month,2025-03-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25martvt/25martvt.xlsx
2025-03-01,4816,-0.006,revised_next_month,2025-04-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25aprtvt/25aprtvt.xlsx
2025-04-01,5008,0.015,revised_next_month,2025-05-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25maytvt/25maytvt.xlsx
2025-05-01,5406,0.005,revised_next_month,2025-06-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25juntvt/25juntvt.xlsx
2025-06-01,5576,0.013000000000000001,revised_next_month,2025-07-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25jultvt/25jultvt.xlsx
2025-07-01,6072,0.008,revised_next_month,2025-08-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25augtvt/25augtvt.xlsx
2025-08-01,5965,0.004,revised_next_month,2025-09-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25septvt/25septvt.xlsx
2025-09-01,5263,-0.002,revised_next_month,2025-10-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25octtvt/25octtvt.xlsx
2025-10-01,5163,-0.004,revised_next_month,2025-11-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25novtvt/25novtvt.xlsx
2025-11-01,4502,0.002,revised_next_month,2025-12-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/25dectvt/25dectvt.xlsx
2025-12-01,4550,0.004,revised_next_month,2026-01-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/26jantvt/26jantvt.xlsx
2026-01-01,4493,0.002,revised_next_month,2026-02-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/26febtvt/26febtvt.xlsx
2026-02-01,4230,0.063,revised_next_month,2026-03-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/26martvt/26martvt.xlsx
2026-03-01,4805,-0.006999999999999999,revised_next_month,2026-04-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/26aprtvt/26aprtvt.xlsx
2026-04-01,4972,-0.011000000000000001,revised_next_month,2026-05-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/26maytvt/26maytvt.xlsx
2026-05-01,5370,-0.01,preliminary,2026-05-01,Washington,All estimated roads and streets,https://www.fhwa.dot.gov/policyinformation/travel_monitoring/26maytvt/26maytvt.xlsx
